Average Trip Duration (minutes),Amount of Users,Mode of User type
5.0,1,1
9.0,2,1
8.954545454545455,22,1
11.211267605633802,71,1
11.923469387755102,196,1
11.16030534351145,393,1
10.229508196721312,183,1
10.903225806451612,124,1
12.411214953271028,107,1
28.92,100,1
35.1078431372549,102,1
10.046511627906977,86,1
13.054347826086957,92,1
11.424870466321243,193,1
11.082474226804123,291,1
16.134715025906736,193,1
8.312056737588652,141,1
9.23469387755102,98,1
9.551724137931034,58,1
9.777777777777779,18,1
6.583333333333333,12,1
12.833333333333334,6,1
22.666666666666668,3,1
16.0,1,1
8.642857142857142,14,1
12.130434782608695,23,1
11.39344262295082,61,1
11.6375,80,1
10.471698113207546,53,1
11.511627906976743,43,1
9.902439024390244,41,1
10.23076923076923,39,1
14.03125,32,1
8.5,46,1
11.029850746268657,67,1
12.11320754716981,106,1
11.588832487309645,197,1
11.836879432624114,141,1
10.542056074766355,107,1
10.208333333333334,96,1
9.527272727272727,55,1
9.214285714285714,28,1
36.333333333333336,15,1
7.25,4,1
9.75,4,1
8.0,1,1
15.0,1,1
9.722222222222221,18,1
10.4,50,1
12.921052631578947,114,1
10.71259842519685,254,1
10.347107438016529,121,1
12.195876288659793,97,1
10.679487179487179,78,1
10.602150537634408,93,1
17.73913043478261,69,1
15.639344262295081,61,1
12.666666666666666,102,1
11.657142857142857,175,1
23.205223880597014,268,1
10.517441860465116,172,1
10.174242424242424,132,1
9.120481927710843,83,1
9.033898305084746,59,1
7.861111111111111,36,1
9.12,25,1
8.818181818181818,11,1
8.833333333333334,6,1
7.0,3,1
15.5,2,1
8.45,20,1
10.016949152542374,59,1
11.863095238095237,168,1
11.163522012578616,318,1
10.348066298342541,181,1
10.857142857142858,77,1
9.38961038961039,77,1
11.563218390804598,87,1
11.08235294117647,85,1
11.539823008849558,113,1
10.87037037037037,108,1
12.557077625570777,219,1
11.79,300,1
10.805,200,1
10.762962962962963,135,1
10.03921568627451,102,1
9.612903225806452,62,1
9.5,22,1
10.875,8,1
15.0,7,1
23.0,4,1
33.0,1,1
62.0,1,1
18.0,2,1
11.0,14,1
13.136363636363637,22,1
11.844036697247706,109,1
11.224043715846994,183,1
9.784,125,1
12.36,75,1
8.923076923076923,65,1
9.5125,80,1
8.662162162162161,74,1
10.622222222222222,90,1
14.329896907216495,97,1
11.040816326530612,147,1
10.78695652173913,230,1
10.770491803278688,122,1
11.057971014492754,69,1
8.043478260869565,46,1
8.758620689655173,29,1
6.352941176470588,17,1
8.75,20,1
8.833333333333334,12,1
5.833333333333333,6,1
14.0,2,1
5.0,2,1
9.5,2,1
13.0,4,1
8.25,4,1
11.285714285714286,7,1
7.945945945945946,37,1
10.50943396226415,53,1
11.071428571428571,70,1
14.293103448275861,58,1
10.240963855421686,83,1
14.6875,64,1
13.149253731343284,67,1
12.723684210526315,76,1
13.036144578313253,83,1
11.028571428571428,70,1
10.571428571428571,49,1
8.813559322033898,59,1
7.75,28,1
8.96774193548387,31,1
9.208333333333334,24,1
7.470588235294118,17,1
11.214285714285714,14,1
7.0,4,1
20.0,4,1
18.5,2,1
19.0,2,[1 2]
14.25,4,1
9.666666666666666,6,1
9.25,8,1
8.567567567567568,37,1
11.136363636363637,44,1
282.358024691358,81,1
10.851851851851851,81,1
10.763636363636364,55,1
9.72,25,1
12.28169014084507,71,1
11.5,72,1
7.60377358490566,53,1
10.836363636363636,55,1
8.423076923076923,52,1
7.741935483870968,31,1
10.1,20,1
8.473684210526315,19,1
8.424242424242424,33,1
11.142857142857142,21,1
4.333333333333333,3,1
13.0,3,1
8.8,5,1
14.0,1,1
12.466666666666667,15,1
10.41025641025641,39,1
11.60759493670886,158,1
12.115273775216139,347,1
11.048543689320388,206,1
10.771929824561404,114,1
9.57943925233645,107,1
11.898876404494382,89,1
9.18018018018018,111,1
13.779069767441861,86,1
12.149122807017545,114,1
15.313432835820896,201,1
12.288524590163934,305,1
9.875598086124402,209,1
8.826771653543307,127,1
17.7012987012987,77,1
11.173076923076923,52,1
9.93939393939394,33,1
9.166666666666666,12,1
16.8,5,1
23.25,4,1
16.5,2,1
14.25,4,1
11.0,16,1
20.950819672131146,61,1
11.544378698224852,169,1
11.834733893557424,357,1
10.782178217821782,202,1
9.185714285714285,70,1
8.951612903225806,62,1
11.405063291139241,79,1
11.12,75,1
9.821428571428571,84,1
8.779816513761467,109,1
11.442786069651742,201,1
10.611940298507463,268,1
10.116071428571429,224,1
9.507042253521126,142,1
7.980769230769231,104,1
8.818181818181818,77,1
10.08695652173913,46,1
8.588235294117647,17,1
8.25,4,1
14.166666666666666,6,1
15.0,3,1
15.0,1,1
10.5,16,1
9.413793103448276,58,1
12.315217391304348,184,1
16.084269662921347,356,1
10.139303482587065,201,1
13.552083333333334,96,1
11.297872340425531,47,1
13.941176470588236,34,1
10.32,25,1
9.346153846153847,26,1
10.333333333333334,18,1
14.0,33,1
11.0,73,1
9.817073170731707,82,1
10.295081967213115,61,1
8.865384615384615,52,1
9.5,48,1
9.0,19,1
7.8,15,1
11.0,9,1
12.75,4,1
5.0,3,1
21.0,1,1
712.0,1,2
12.214285714285714,14,1
8.586206896551724,29,1
11.609756097560975,123,1
11.238493723849372,239,1
10.532894736842104,152,1
10.358695652173912,92,1
11.348484848484848,66,1
11.930232558139535,86,1
8.954022988505747,87,1
9.102564102564102,78,1
10.095238095238095,63,1
11.064327485380117,171,1
12.082733812949641,278,1
11.177083333333334,192,1
31.363636363636363,121,1
10.172043010752688,93,1
10.862745098039216,51,1
11.405405405405405,37,1
8.8,15,1
9.75,8,1
13.333333333333334,3,1
16.0,3,1
6.333333333333333,3,1
8.2,5,1
12.142857142857142,14,1
10.727272727272727,44,1
11.389380530973451,113,1
11.536184210526315,304,1
11.392638036809815,163,1
16.21875,96,1
9.479591836734693,98,1
12.366336633663366,101,1
10.71264367816092,87,1
13.648351648351648,91,1
11.055045871559633,109,1
10.72636815920398,201,1
12.171717171717171,297,1
10.19108280254777,157,1
10.670588235294117,85,1
11.452830188679245,53,1
11.083333333333334,48,1
10.761904761904763,42,1
9.64516129032258,31,1
11.88888888888889,18,1
6.2,10,1
15.384615384615385,13,1
17.5,4,1
17.0,4,1
20.0,1,1
11.1,10,1
10.375,32,1
10.272727272727273,44,1
11.209677419354838,62,1
13.58095238095238,105,1
16.106194690265486,113,1
15.234848484848484,132,1
16.487603305785125,121,1
14.708609271523178,151,1
22.04225352112676,142,1
16.40714285714286,140,1
13.266666666666667,105,1
12.938144329896907,97,1
12.389830508474576,59,1
10.642857142857142,42,1
9.292682926829269,41,1
10.733333333333333,15,1
10.733333333333333,15,1
12.5,10,1
16.2,15,1
11.4,15,1
25.75,4,2
11.5,2,1
10.75,4,1
10.11111111111111,9,1
11.1,20,1
137.76923076923077,26,1
8.129032258064516,31,1
16.806451612903224,31,1
9.314285714285715,35,1
11.88888888888889,27,1
12.413793103448276,29,1
11.08108108108108,37,1
12.518518518518519,27,1
10.864864864864865,37,1
8.642857142857142,28,1
8.346153846153847,26,1
8.0,25,1
8.741935483870968,31,1
12.125,16,1
12.4375,16,1
8.875,8,1
7.25,4,1
11.666666666666666,3,1
8.5,2,1
8.25,4,1
9.533333333333333,15,1
11.737704918032787,61,1
11.927710843373495,166,1
19.54653937947494,419,1
9.756218905472636,201,1
12.11111111111111,108,1
15.471698113207546,106,1
13.848,125,1
15.083333333333334,84,1
14.043956043956044,91,1
13.265625,128,1
12.1,250,1
11.740157480314961,381,1
10.533596837944664,253,1
10.053333333333333,150,1
8.48,100,1
10.783783783783784,74,1
23.041666666666668,48,1
10.875,24,1
9.583333333333334,12,1
20.4,5,1
14.0,3,1
4.0,1,1
15.0,1,1
12.631578947368421,19,1
9.435483870967742,62,1
11.00578034682081,173,1
12.145833333333334,336,1
15.359375,192,1
16.257425742574256,101,1
12.35897435897436,78,1
11.405172413793103,116,1
14.53012048192771,83,1
12.2,95,1
10.353535353535353,99,1
11.363636363636363,220,1
132.15360501567397,319,1
10.216589861751151,217,1
10.331034482758621,145,1
9.5,118,1
9.215384615384615,65,1
9.204545454545455,44,1
46.6,20,1
5.9,10,1
8.333333333333334,3,1
21.0,5,1
31.0,3,1
26.0,4,1
10.11111111111111,18,1
10.459016393442623,61,1
11.41304347826087,184,1
11.782383419689118,386,1
11.5625,240,1
10.384615384615385,117,1
11.907692307692308,130,1
18.496598639455783,147,1
18.43609022556391,133,1
13.173228346456693,127,1
13.227848101265822,158,1
12.464539007092199,282,1
30.071604938271605,405,1
12.136363636363637,242,1
10.5,148,1
83.33050847457628,118,1
13.0,88,1
12.911111111111111,45,1
8.928571428571429,28,1
11.076923076923077,13,1
11.375,8,1
8.0,2,1
4.0,1,1
24.666666666666668,6,1
10.117647058823529,17,1
12.215384615384615,65,1
12.893401015228426,197,1
15.429951690821255,414,1
11.62280701754386,228,1
10.277310924369749,119,1
13.484615384615385,130,1
11.347517730496454,141,1
10.0,114,1
11.35897435897436,117,1
11.645669291338583,127,1
78.98534798534799,273,1
20.653225806451612,372,1
11.705607476635514,214,1
10.275675675675675,185,1
13.707692307692307,130,1
11.369565217391305,92,1
98.9041095890411,73,1
11.310344827586206,29,1
8.695652173913043,23,1
23.75,8,[1 2]
12.4,5,1
7.0,3,1
16.0,4,1
12.357142857142858,14,1
12.724137931034482,29,1
10.693693693693694,111,1
11.7987987987988,333,1
10.807486631016042,187,1
10.936,125,1
9.552845528455284,123,1
40.41379310344828,145,1
14.809859154929578,142,1
23.7734375,128,1
12.08125,160,1
12.475095785440613,261,1
11.93939393939394,330,1
13.397905759162304,191,1
19.52517985611511,139,1
11.11111111111111,54,1
11.08,75,1
10.403846153846153,52,1
12.710526315789474,38,1
10.12,25,1
36.888888888888886,18,1
11.222222222222221,9,1
8.6,5,1
7.5,2,1
9.454545454545455,11,1
11.705882352941176,17,1
8.6,40,1
11.571428571428571,77,1
12.366666666666667,90,1
15.725663716814159,113,1
13.478632478632479,117,1
20.216666666666665,120,1
14.242718446601941,103,1
21.50943396226415,106,1
14.983193277310924,119,1
15.238805970149254,67,1
11.734939759036145,83,1
10.98360655737705,61,1
11.409090909090908,22,1
9.545454545454545,11,1
11.153846153846153,26,1
9.5,10,1
15.0,8,1
15.6,15,1
18.583333333333332,12,2
14.666666666666666,6,2
7.0,1,1
12.0,1,1
10.0,1,1
14.0,2,1
10.529411764705882,17,1
10.62962962962963,27,1
9.622641509433961,53,1
13.660377358490566,53,1
12.491525423728813,59,1
12.013157894736842,76,1
17.097087378640776,103,1
18.91025641025641,78,1
13.621052631578948,95,1
12.565217391304348,92,1
11.5,56,1
154.91044776119404,67,1
11.176470588235293,51,1
15.842105263157896,38,1
9.578947368421053,38,1
9.578947368421053,19,1
8.0,12,1
7.75,8,1
11.75,4,1
8.0,1,1
15.4,5,1
10.636363636363637,22,1
11.105263157894736,38,1
11.07843137254902,102,1
13.428571428571429,91,1
15.096491228070175,114,1
11.373831775700934,107,1
14.245454545454546,110,1
13.827067669172932,133,1
32.00684931506849,146,1
16.340740740740742,135,1
20.107142857142858,168,1
15.628930817610064,159,1
11.618181818181819,110,1
15.178947368421053,95,1
9.578125,64,1
13.27659574468085,47,1
10.875,24,1
10.238095238095237,21,1
9.5,8,1
18.5,4,[1 2]
11.0,3,1
5.0,1,1
16.5,6,1
10.130434782608695,23,1
11.08695652173913,69,1
12.025974025974026,231,1
11.800925925925926,432,1
11.557077625570777,219,1
13.342342342342342,111,1
14.08108108108108,148,1
12.357575757575757,165,1
21.50980392156863,153,1
19.622857142857143,175,1
43.59907834101382,217,1
16.37853107344633,354,1
20.13919413919414,546,1
12.188571428571429,350,1
10.79245283018868,212,1
10.848275862068965,145,1
14.403669724770642,109,1
58.142857142857146,63,1
10.5,34,1
9.333333333333334,27,1
16.857142857142858,7,1
6.5,4,1
10.5,2,1
6.5,2,1
12.0,21,1
12.604651162790697,86,1
12.679856115107913,278,1
12.587301587301587,504,1
12.956349206349206,252,1
16.321052631578947,190,1
17.228395061728396,162,1
22.289473684210527,228,1
21.430962343096233,239,1
25.048128342245988,187,1
20.257575757575758,264,1
20.816777041942604,453,1
29.766942148760332,605,1
13.576923076923077,390,1
12.282685512367491,283,1
14.591715976331361,169,1
21.50793650793651,126,1
11.693548387096774,62,1
9.764705882352942,34,1
12.068965517241379,29,1
13.11111111111111,9,1
9.833333333333334,6,1
14.5,2,1
10.647058823529411,17,1
9.571428571428571,63,1
11.422680412371134,194,1
11.68139534883721,430,1
10.961832061068701,262,1
11.218181818181819,110,1
10.02061855670103,97,1
21.333333333333332,117,1
10.310679611650485,103,1
11.325301204819278,83,1
10.941176470588236,68,1
10.086538461538462,104,1
18.66883116883117,154,1
16.625,128,1
9.943396226415095,106,1
10.210526315789474,95,1
10.564516129032258,62,1
10.446428571428571,56,1
9.6875,32,1
75.92,25,1
18.666666666666668,12,1
15.0,3,1
6.0,4,1
22.0,3,1
10.090909090909092,22,1
11.87719298245614,57,1
12.395348837209303,172,1
11.492957746478874,355,1
12.227488151658768,211,1
11.736842105263158,114,1
11.827586206896552,116,1
20.131386861313867,137,1
10.112068965517242,116,1
11.58108108108108,74,1
11.175,80,1
11.641414141414142,198,1
10.683673469387756,196,1
9.775,80,1
10.412698412698413,63,1
26.65909090909091,44,1
9.095238095238095,42,1
26.83783783783784,37,1
17.846153846153847,39,1
10.0,32,1
13.666666666666666,12,1
60.391304347826086,23,1
22.0,2,[1 2]
9.5,2,1
12.0,3,1
8.5,14,1
12.56,25,1
10.52112676056338,71,1
13.275229357798166,109,1
16.192592592592593,135,1
17.263736263736263,182,1
21.6625,240,1
21.240458015267176,262,1
18.640776699029125,206,1
201.64615384615385,195,1
15.817307692307692,208,1
13.534591194968554,159,1
13.920289855072463,138,1
54.55882352941177,102,1
11.896103896103897,77,1
12.727272727272727,66,1
13.238805970149254,67,1
9.289473684210526,38,1
85.26470588235294,34,1
10.142857142857142,28,1
10.384615384615385,26,1
6.833333333333333,6,1
12.0,1,1
16.0,2,1
9.4,5,1
13.961538461538462,26,1
10.241379310344827,29,1
11.675675675675675,37,1
8.92,25,1
10.65,20,1
8.772727272727273,22,1
11.588235294117647,34,1
8.37037037037037,27,1
8.136363636363637,44,1
9.125,56,1
