Average Trip Duration (minutes),Amount of Users,Mode of User type
11.65925925925926,135,1
11.683760683760683,234,1
11.045454545454545,110,1
7.107142857142857,28,1
7.2,10,1
6.333333333333333,15,1
8.3,10,1
8.227272727272727,22,1
7.620689655172414,29,1
19.43103448275862,116,1
11.816666666666666,180,1
12.127388535031848,157,1
11.9,100,1
9.391891891891891,74,1
82.80645161290323,62,1
12.166666666666666,36,1
16.333333333333332,21,1
14.2,5,1
20.142857142857142,7,1
31.5,2,1
28.25,4,1
11.05,20,1
12.929824561403509,57,1
11.745762711864407,177,1
11.965317919075144,346,1
9.778947368421052,190,1
10.63716814159292,113,1
15.571428571428571,91,1
9.415929203539823,113,1
11.956043956043956,91,1
11.144444444444444,90,1
70.44915254237289,118,1
11.289099526066352,211,1
14.610344827586207,290,1
11.421052631578947,190,1
9.532846715328468,137,1
8.310344827586206,87,1
10.603174603174603,63,1
11.068181818181818,44,1
7.809523809523809,21,1
7.0,10,1
8.8,5,1
34.333333333333336,3,1
25.333333333333332,3,1
9.0,2,1
8.176470588235293,17,1
9.574468085106384,47,1
11.144736842105264,152,1
10.926421404682275,299,1
11.47305389221557,167,1
9.32967032967033,91,1
10.301587301587302,63,1
8.987654320987655,81,1
10.743243243243244,74,1
10.474358974358974,78,1
10.622222222222222,90,1
11.089887640449438,178,1
10.556034482758621,232,1
10.890710382513662,183,1
10.099009900990099,101,1
12.875,64,1
11.50909090909091,55,1
9.342857142857143,35,1
6.818181818181818,22,1
12.0,13,1
21.333333333333332,6,1
11.375,8,1
32.0,1,1
11.0,1,1
10.0,11,1
9.142857142857142,49,1
11.483333333333333,120,1
11.00377358490566,265,1
9.806060606060607,165,1
8.653333333333334,75,1
10.272727272727273,88,1
11.166666666666666,90,1
15.172727272727272,110,1
12.241758241758241,91,1
11.052173913043479,115,1
18.46698113207547,212,1
11.548523206751055,237,1
11.136904761904763,168,1
11.051282051282051,78,1
11.081632653061224,49,1
24.962264150943398,53,1
9.974358974358974,39,1
50.10344827586207,29,1
8.380952380952381,21,1
18.0,4,1
16.083333333333332,12,1
239.0,4,1
35.0,2,1
34.625,8,[1 2]
9.5,4,1
9.4,15,1
12.176470588235293,34,1
9.837837837837839,74,1
11.943181818181818,88,1
16.852459016393443,122,1
35.99264705882353,136,1
35.24666666666667,150,1
18.942528735632184,174,1
18.962025316455698,158,1
16.37956204379562,137,1
15.383838383838384,99,1
11.091954022988507,87,1
10.926829268292684,82,1
12.775510204081632,49,1
11.372549019607844,51,1
8.72340425531915,47,1
9.606060606060606,33,1
14.268292682926829,41,1
10.0,21,1
13.833333333333334,12,1
10.714285714285714,7,1
7.0,1,1
5.666666666666667,3,1
13.0,6,1
15.461538461538462,13,1
10.866666666666667,30,1
12.838235294117647,68,1
14.766990291262136,103,1
12.935483870967742,124,1
15.962264150943396,106,1
16.8,135,1
26.899224806201552,129,1
16.06923076923077,130,1
15.29746835443038,158,1
12.77570093457944,107,1
12.682926829268293,123,1
10.619718309859154,71,1
10.419354838709678,62,1
11.775,40,1
8.571428571428571,35,1
8.777777777777779,27,1
10.894736842105264,19,1
39.8,5,2
33.0,2,1
