dt_iso,city_id,pressure,humidity,wind_speed,avg_temp_f,weather_type,Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
2018-06-22,4975802,1016.1666666666666,64.91666666666667,3.0,61.086500000000036,2,21.42005044580563,1561.0,561.0,1000.0,36.0,64.0
2018-06-23,4975802,1016.5,81.58333333333333,2.1666666666666665,58.33850000000006,[2 7],21.269252470385496,1627.0,555.0,1072.0,34.0,66.0
2018-06-24,4975802,1009.9166666666666,86.41666666666667,1.5833333333333333,60.135500000000036,2,20.967778338568873,2004.0,563.0,1441.0,28.0,72.0
2018-06-25,4975802,1011.9583333333334,83.33333333333333,2.9583333333333335,63.98600000000005,7,23.760825961751166,1860.0,348.0,1512.0,19.0,81.0
2018-06-26,4975802,1022.0,66.375,2.9166666666666665,60.776000000000074,2,34.84284416335877,2065.0,344.0,1721.0,17.0,83.0
2018-06-27,4975802,1017.5,60.708333333333336,2.9583333333333335,65.42000000000006,2,29.163760997252684,1536.0,417.0,1119.0,27.0,73.0
2018-06-28,4975802,1012.25,92.375,3.625,65.48675000000004,7,23.541358477265533,1614.0,463.0,1151.0,29.0,71.0
2018-06-29,4975802,1010.4583333333334,80.54166666666667,2.2083333333333335,72.29750000000006,4,28.086202204595253,1908.0,347.0,1561.0,18.0,82.0
2018-06-30,4975802,1015.125,71.95833333333333,2.0416666666666665,74.68700000000004,1,22.875892505076546,2319.0,493.0,1826.0,21.0,79.0
2018-07-01,4975802,1015.1666666666666,72.875,1.75,79.19825000000004,1,26.08096892494869,2113.0,505.0,1608.0,24.0,76.0
2018-07-02,4975802,1019.0,80.58333333333333,1.9166666666666667,73.65200000000006,1,24.713729500225856,2540.0,442.0,2098.0,17.0,83.0
2018-07-03,4975802,1019.7083333333334,80.08333333333333,1.9166666666666667,74.96375000000003,[1 6],23.33288542847549,2166.0,412.0,1754.0,19.0,81.0
2018-07-04,4975802,1024.25,65.625,1.875,79.37000000000006,2,22.8185744309254,1571.0,455.0,1116.0,29.0,71.0
2018-07-05,4975802,1023.7083333333334,71.04166666666667,1.9166666666666667,78.89675000000004,1,28.418587851663172,1586.0,514.0,1072.0,32.0,68.0
2018-07-06,4975802,1014.2916666666666,74.91666666666667,3.7083333333333335,78.89675000000004,1,19.403583296506216,1700.0,536.0,1164.0,32.0,68.0
2018-07-07,4975802,1023.4583333333334,52.833333333333336,2.6666666666666665,65.08775000000006,1,26.536704749091623,1753.0,568.0,1185.0,32.0,68.0
2018-07-08,4975802,1026.1666666666667,64.29166666666667,1.7916666666666667,66.80900000000004,1,21.088509977079905,1633.0,510.0,1123.0,31.0,69.0
2018-07-09,4975802,1020.5833333333334,60.458333333333336,2.25,71.52575000000004,1,28.906791216131808,2063.0,523.0,1540.0,25.0,75.0
2018-07-10,4975802,1012.0,62.375,2.7083333333333335,74.54600000000006,1,27.855959267679825,1723.0,410.0,1313.0,24.0,76.0
2018-07-11,4975802,1014.0,65.79166666666667,2.25,72.56525000000005,[1 2],22.039739396281238,1700.0,546.0,1154.0,32.0,68.0
2018-07-12,4975802,1020.3333333333334,59.458333333333336,2.3333333333333335,66.31175000000005,1,21.11500010763386,1797.0,631.0,1166.0,35.0,65.0
2018-07-13,4975802,1023.7916666666666,64.16666666666667,2.3333333333333335,67.54850000000005,2,19.742355042830443,2023.0,671.0,1352.0,33.0,67.0
2018-07-14,4975802,1022.0,78.20833333333333,2.0416666666666665,62.57075000000006,2,21.64816608769765,2027.0,716.0,1311.0,35.0,65.0
