Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
12.196078431372548,51,41,10,80.0,20.0
22.11111111111111,54,41,13,76.0,24.0
11.35483870967742,31,25,6,81.0,19.0
20.5,26,12,14,46.0,54.0
23.764705882352942,17,10,7,59.0,41.0
33.7,30,13,17,43.0,57.0
18.705882352941178,17,11,6,65.0,35.0
22.272727272727273,11,5,6,45.0,55.0
25.583333333333332,12,9,3,75.0,25.0
23.384615384615383,13,10,3,77.0,23.0
11.2,5,3,2,60.0,40.0
15.0,2,2,0,100.0,0.0
35.0,1,0,1,0.0,100.0
22.0,1,1,0,100.0,0.0
10.0,3,3,0,100.0,0.0
35.166666666666664,6,6,0,100.0,0.0
20.0,18,15,3,83.0,17.0
10.571428571428571,14,8,6,57.0,43.0
23.40625,32,17,15,53.0,47.0
34.25,52,33,19,63.0,37.0
31.317073170731707,82,32,50,39.0,61.0
30.0,89,33,56,37.0,63.0
48.701298701298704,77,26,51,34.0,66.0
30.973684210526315,76,29,47,38.0,62.0
35.67088607594937,79,27,52,34.0,66.0
24.418181818181818,55,23,32,42.0,58.0
22.25925925925926,27,14,13,52.0,48.0
26.419354838709676,31,12,19,39.0,61.0
32.6,25,10,15,40.0,60.0
26.74074074074074,27,16,11,59.0,41.0
15.052631578947368,19,13,6,68.0,32.0
9.6875,16,14,2,88.0,12.0
9.5,6,4,2,67.0,33.0
29.375,8,7,1,88.0,12.0
23.8,5,2,3,40.0,60.0
51.5,2,0,2,0.0,100.0
31.666666666666668,3,2,1,67.0,33.0
3.0,1,1,0,100.0,0.0
28.0,2,2,0,100.0,0.0
12.25,4,4,0,100.0,0.0
19.055555555555557,18,16,2,89.0,11.0
14.944444444444445,18,12,6,67.0,33.0
20.175,40,22,18,55.0,45.0
37.589285714285715,56,22,34,39.0,61.0
43.88636363636363,88,24,64,27.0,73.0
45.77884615384615,104,34,70,33.0,67.0
35.16483516483517,91,24,67,26.0,74.0
38.71052631578947,114,35,79,31.0,69.0
20.8,60,28,32,47.0,53.0
16.58,50,27,23,54.0,46.0
12.4,15,7,8,47.0,53.0
14.083333333333334,12,9,3,75.0,25.0
30.88888888888889,18,5,13,28.0,72.0
23.789473684210527,19,7,12,37.0,63.0
19.857142857142858,14,6,8,43.0,57.0
29.0,11,2,9,18.0,82.0
18.714285714285715,7,3,4,43.0,57.0
12.833333333333334,6,6,0,100.0,0.0
22.0,1,0,1,0.0,100.0
15.0,1,1,0,100.0,0.0
4.0,1,1,0,100.0,0.0
8.666666666666666,6,6,0,100.0,0.0
9.411764705882353,17,15,2,88.0,12.0
10.703703703703704,27,23,4,85.0,15.0
17.714285714285715,21,16,5,76.0,24.0
16.944444444444443,18,13,5,72.0,28.0
29.64,50,29,21,58.0,42.0
37.56,50,25,25,50.0,50.0
